Country,Alternative,Renewable,Fossil,Energy
ABW,,,,
AND,,,,
AFG,,,,
AGO,2.38068197950087,56.2997302224564,41.3195877980427,
ALB,26.3205760835958,8.6871363955275,56.377338377529,12.382763242185
ARB,0.535504489424447,2.12542396376016,97.1353653103709,8.7765843983635
ARE,0,0.0952268696604515,99.9076195231479,8.06865694416223
ARG,5.38448780279473,4.16424428316356,88.9149940024566,
ARM,27.6604188237257,0.293101444958059,75.4928438218553,7.70967213302318
ASM,,,,
ATG,,,,
AUS,2.19038523734773,3.91394399812169,93.8956684414946,7.66969193271123
AUT,12.4780943609652,19.5164260761404,66.1158376874701,11.240323803565
AZE,0.923792021222448,1.09298026562209,98.2112327190642,11.2572253163084
BDI,,,,
BEL,20.7768711570901,6.38799380422789,71.0702666949352,8.02402919740866
BEN,0,54.9300238708624,42.8779350041706,4.74488098287626
BFA,,,,
BGD,0.264829873570293,26.5698664832047,73.1653006907637,13.1926425516723
BGR,25.7096447627531,6.96581969442006,70.1868946970193,6.88399650706426
BHR,0,0,99.9893486355507,4.12237746736771
 The,,,,
BIH,9.64201447659469,2.77760906252925,92.504002166717,5.67530202706296
BLR,0.0460325688857083,5.72496529959665,90.6720403103935,5.92912928990692
BLZ,,,,
BMU,,,,
BOL,2.67180034379838,12.2312583307087,85.0969168436601,7.75398914605222
BRA,13.1287299254895,27.6592926476555,58.0210680884004,10.6284981166942
BRB,,,,
BRN,0.00565388122510402,0,99.9943789901774,9.54099045135017
BTN,,,,
BWA,0.00359743979412605,20.5337262072234,69.1308292642524,13.658796730946
CAF,,,,
CAN,24.3069556324708,5.20678064878857,72.1846407925311,5.86158780938648
CEB,11.6349045027437,9.24675590083941,77.5990072254029,8.92844407976876
CHE,39.4347013456009,9.20807865616885,52.1229042859096,16.6196672706893
CHI,,,,
CHL,4.56098540368147,26.727533018098,68.6441394047353,9.90404060118362
CHN,4.75914974596975,7.13693693227606,88.1372330852654,5.30263053825217
CIV,1.13481318049575,73.6491095175482,25.6346429073259,4.84809879917038
CMR,5.68414489375837,65.0364575959224,29.2793975103192,8.29910582701857
 Rep.,3.58598558204143,59.5948624615977,36.8191097096468,10.3440963210414
COL,12.0560347680851,12.5120617633059,75.7982012770563,18.4049002971312
COM,,,,
CPV,,,,
CRI,37.0232437513112,13.926820424635,48.9664740562337,13.5083035692927
CSS,0.0881295494617448,2.25125616548623,97.660614285052,
CUB,0.112333008377509,12.5533716251329,87.3342868292493,19.3526572136106
